Match ID,Blue Win,First Blood,First Dragon,First Rift Herald,First Tower,Blue kills,Red kills,Blue assists,Red assists,Blue gold,Red gold,Gold Diff,Blue towers,Red towers,Blue xp,Red xp
4039794479,False,True,True,True,NA,8,9,7,18,17876,18811,-935,0,0,18823,18854
4039567530,False,True,NA,False,NA,10,8,11,5,18749,17588,1161,0,0,17810,19058
4038813791,False,False,True,NA,NA,4,9,7,9,15472,18343,-2871,0,0,17523,18498
4038745996,False,False,False,NA,NA,5,8,6,8,16462,17817,-1355,0,0,17514,17580
4038738433,True,False,False,NA,NA,2,6,1,5,15132,17044,-1912,0,0,18760,18788
4046549417,True,False,NA,NA,NA,12,7,18,7,19196,16147,3049,0,0,18856,16697
4046576588,False,False,NA,NA,NA,5,7,8,7,17036,16500,536,0,0,18290,17353
4046571317,True,True,False,NA,NA,4,4,4,4,15927,15832,95,0,0,18139,18023
4046508359,True,False,True,False,NA,8,6,10,10,17280,17673,-393,0,0,18488,17997
4046358274,False,False,False,NA,NA,2,7,0,6,14500,17185,-2685,0,0,17568,19322
4044622400,True,True,NA,True,NA,8,5,9,9,16630,15724,906,0,0,18152,15694
4044464408,True,True,False,True,NA,6,4,7,6,17534,15287,2247,0,0,19230,17401
4044305605,False,False,NA,False,NA,5,9,6,14,15947,18401,-2454,0,0,18452,18782
4044088259,False,False,False,NA,NA,2,5,3,5,14431,17957,-3526,0,0,16664,18829
4044065652,False,True,False,True,NA,3,5,6,7,15666,16820,-1154,0,0,17154,18864
4043704466,False,True,False,True,NA,8,7,11,7,16891,16455,436,0,0,17504,17499
4043680636,True,False,True,NA,NA,10,10,11,13,18013,18262,-249,0,0,16617,17481
4043603593,False,False,NA,True,NA,11,8,17,5,20384,16922,3462,0,0,18780,18144
4043579819,False,True,NA,NA,NA,4,8,6,10,15840,17946,-2106,0,0,17165,19781
4042836105,True,True,False,NA,NA,7,7,11,3,17351,16159,1192,0,0,18463,18805
4042840281,False,False,False,True,NA,4,5,3,7,15049,16622,-1573,0,0,15963,17247
4041644817,True,True,True,NA,NA,9,3,10,2,18040,14839,3201,0,0,19401,18223
4041007177,True,True,NA,NA,NA,13,3,14,1,20067,14835,5232,0,0,19484,15964
4041003994,False,False,False,NA,NA,7,13,6,14,16702,19013,-2311,0,0,17425,18172
4040966898,True,True,True,True,NA,14,9,13,7,19906,16814,3092,0,0,18635,16398
4040972149,True,True,NA,NA,Blue,12,3,16,2,20719,13956,6763,1,0,18952,15420
